CLUSTER_ID,N_TRAJECTORIES,N_USERS,AVG_POINTS,AVG_CELLS,START_CELL,END_CELL
255,1,1,651.0,6.0,15537:486,15546:475
263,1,1,256.0,6.0,15534:504,15534:504
280,1,1,43.0,6.0,15536:490,15537:490
288,1,1,436.0,6.0,15543:485,15543:486
294,1,1,572.0,6.0,15545:489,15547:486
299,1,1,359.0,6.0,15544:485,15542:487
305,1,1,274.0,6.0,15549:482,15541:482
307,1,1,114.0,6.0,15548:483,15549:482
328,1,1,1748.0,6.0,15548:491,15549:491
334,1,1,71.0,6.0,15529:487,15530:487
350,1,1,423.0,6.0,15533:482,15533:482
352,1,1,264.0,6.0,15559:505,15542:497
364,1,1,149.0,6.0,15549:493,15547:491
427,1,1,535.0,6.0,15553:486,15554:485
433,1,1,118.0,6.0,15536:477,15543:487
442,1,1,189.0,6.0,15530:492,15530:489
445,1,1,17.0,6.0,15537:491,15539:495
453,1,1,568.0,6.0,15541:498,15541:498
455,1,1,259.0,6.0,15541:498,15550:480
459,1,1,141.0,6.0,15545:493,15543:495
472,1,1,293.0,6.0,15528:489,15530:487
479,1,1,213.0,6.0,15541:490,15536:496
486,1,1,287.0,6.0,15539:503,15538:494
517,1,1,303.0,6.0,15522:474,15521:474
521,1,1,62.0,6.0,15523:474,15522:475
540,1,1,193.0,6.0,15537:488,15535:501
544,1,1,335.0,6.0,15552:489,15541:494
547,1,1,235.0,6.0,15551:506,15550:505
551,1,1,511.0,6.0,15548:491,15550:491
555,1,1,644.0,6.0,15532:500,15532:500
577,1,1,263.0,6.0,15530:487,15539:492
578,1,1,216.0,6.0,15539:492,15530:487
583,1,1,258.0,6.0,15538:492,15547:487
590,1,1,99.0,6.0,15543:497,15548:494
613,1,1,525.0,6.0,15528:494,15544:484
619,1,1,256.0,6.0,15547:490,15549:494
634,1,1,218.0,6.0,15541:495,15542:499
643,1,1,328.0,6.0,15547:483,15529:488
652,1,1,253.0,6.0,15538:473,15543:482
664,1,1,131.0,6.0,15534:483,15531:479
668,1,1,426.0,6.0,15535:482,15532:480
677,1,1,55.0,6.0,15527:483,15527:483
678,1,1,330.0,6.0,15539:492,15531:486
703,1,1,343.0,6.0,15549:500,15549:500
704,1,1,314.0,6.0,15542:494,15543:487
705,1,1,292.0,6.0,15546:498,15549:498
712,1,1,635.0,6.0,15540:491,15541:492
717,1,1,146.0,6.0,15552:491,15530:466
723,1,1,153.0,6.0,15547:491,15545:484
742,1,1,123.0,6.0,15542:492,15532:479
743,1,1,206.0,6.0,15543:488,15541:491
759,1,1,203.0,6.0,15545:490,15545:490
760,1,1,179.0,6.0,15530:496,15530:496
762,1,1,653.0,6.0,15531:496,15540:491
775,1,1,508.0,6.0,15540:512,15540:511
817,1,1,518.0,6.0,15528:488,15531:488
823,1,1,79.0,6.0,15540:494,15540:494
833,1,1,378.0,6.0,15534:489,15532:489
853,1,1,197.0,6.0,15539:498,15541:497
859,1,1,189.0,6.0,15531:488,15555:513
861,1,1,278.0,6.0,15531:488,15538:487
877,1,1,288.0,6.0,15540:486,15537:473
895,1,1,79.0,6.0,15539:494,15551:487
899,1,1,128.0,6.0,15540:495,15548:494
911,1,1,261.0,6.0,15549:491,15550:489
914,1,1,233.0,6.0,15528:488,15549:491
921,1,1,42.0,6.0,15547:497,15540:491
924,1,1,138.0,6.0,15541:484,15542:498
929,1,1,126.0,6.0,15543:482,15542:498
951,1,1,129.0,6.0,15532:482,15531:490
954,1,1,107.0,6.0,15538:486,15545:486
955,1,1,117.0,6.0,15531:496,15554:477
957,1,1,478.0,6.0,15554:487,15532:471
959,1,1,204.0,6.0,15540:491,15552:487
961,1,1,285.0,6.0,15554:485,15554:485
965,1,1,237.0,6.0,15554:484,15554:485
996,1,1,211.0,6.0,15542:501,15542:501
1009,1,1,217.0,6.0,15544:484,15528:474
1010,1,1,243.0,6.0,15529:475,15529:475
1028,1,1,644.0,6.0,15536:480,15550:496
1048,1,1,99.0,6.0,15544:479,15544:479
1065,1,1,335.0,6.0,15552:490,15550:488
1088,1,1,91.0,6.0,15527:484,15524:484
1093,1,1,290.0,6.0,15534:482,15530:474
1121,1,1,208.0,6.0,15530:487,15548:470
1122,1,1,271.0,6.0,15533:497,15538:491
1126,1,1,182.0,6.0,15532:495,15531:495
1136,1,1,364.0,6.0,15535:473,15540:496
1139,1,1,107.0,6.0,15532:466,15535:464
1146,1,1,390.0,6.0,15537:490,15526:516
1149,1,1,241.0,6.0,15541:476,15541:476
1162,1,1,444.0,6.0,15528:478,15529:479
1169,1,1,557.0,6.0,15534:504,15534:504
1181,1,1,421.0,6.0,15535:478,15534:478
1204,1,1,412.0,6.0,15535:505,15535:504
1207,1,1,171.0,6.0,15526:496,15526:493
1211,1,1,322.0,6.0,15548:487,15546:496
1212,1,1,2440.0,6.0,15539:491,15539:491
1215,1,1,424.0,6.0,15540:488,15538:501
1237,1,1,257.0,6.0,15534:501,15538:502
1,1,1,291.0,5.0,15532:468,15532:468
8,1,1,360.0,5.0,15532:468,15534:468
13,1,1,302.0,5.0,15536:489,15527:482
19,1,1,220.0,5.0,15536:500,15535:503
24,1,1,188.0,5.0,15540:491,15532:502
32,1,1,390.0,5.0,15546:479,15549:480
49,1,1,1126.0,5.0,15549:469,15550:469
53,1,1,143.0,5.0,15545:480,15546:478
54,1,1,258.0,5.0,15535:490,15537:488
67,1,1,443.0,5.0,15541:487,15542:488
70,1,1,353.0,5.0,15541:490,15542:488
76,1,1,362.0,5.0,15541:488,15540:490
78,1,1,598.0,5.0,15540:489,15541:488
81,1,1,141.0,5.0,15543:496,15543:496
82,1,1,166.0,5.0,15543:496,15541:488
86,1,1,191.0,5.0,15543:496,15543:490
101,1,1,143.0,5.0,15534:474,15534:474
111,1,1,244.0,5.0,15530:497,15529:496
116,1,1,206.0,5.0,15540:491,15530:493
122,1,1,375.0,5.0,15552:482,15549:483
124,1,1,226.0,5.0,15553:482,15547:485
136,1,1,106.0,5.0,15547:493,15549:478
137,1,1,200.0,5.0,15549:479,15545:495
138,1,1,375.0,5.0,15546:495,15545:493
